question,query
What is the highest mountain in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Mountain ; dbo_locatedInArea <A>>; dbo_elevation var_elevation  brack_close ORDER BY DESC(var_elevation) LIMIT 1
Who writes the <A>?,SELECT var_uri WHERE brack_open  <A> dbp_editor var_uri  brack_close
Give me the currency of <A>.,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_currency var_uri  brack_close
In which city are the headquarters of the United Nations?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Headquarters_of_the_United_Nations dbo_location var_uri sep_dot var_uri rdf_type dbo_City  brack_close
Is <A> the wife of <A>?,ASK WHERE brack_open  <A> dbo_spouse <A>  brack_close
What is the currency of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_currency var_uri  brack_close
Where in <A> is <A> produced?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_wineProduced <A> ; dbo_location <A>  brack_close
When did <A> end his active career?,SELECT DISTINCT var_d WHERE brack_open  <A> dbo_activeYearsEndDate var_d  brack_close
Which movies starring <A> were directed by <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film ; dbo_starring <A> ; dbo_director <A>  brack_close
In which films did <A> as well as <A> play?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film ; dbo_starring <A> ; dbo_starring <A>  brack_close
Show me <A>'s <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_author <A> ; dbo_literaryGenre <A>  brack_close
What are the five <A> of New York?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_governmentType <A>  brack_close
Give me all Canadian <A> record labels.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_RecordLabel ; dbo_genre <A> ; dbo_country dbr_Canada  brack_close
In which country does the Ganges start?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_river dbr_Ganges  brack_close
Is <A> the wife of <A>?,ASK WHERE brack_open  <A> dbo_spouse <A>  brack_close
Which books by Kerouac were published by <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Book ; dbo_publisher <A> ; dbo_author dbr_Jack_Kerouac  brack_close
Who wrote the song <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_writer var_uri  brack_close
What is the capital of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_capital var_uri  brack_close
What form of government does <A> have?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_governmentType var_uri  brack_close
Show me the book that <A> wrote.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Book ; dbo_author <A>  brack_close
Who was the first to climb <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_firstAscentPerson var_uri  brack_close
How many languages are spoken in <A>?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri dbo_spokenIn <A>  brack_close
In which city does the <A> end?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_routeEnd var_uri  brack_close
Give me the grandchildren of <A> Presley.,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_child var_child sep_dot var_child dbo_child var_uri  brack_close
When did the <A> dissolve?,SELECT DISTINCT var_date WHERE brack_open  <A> dbp_yearEnd var_date  brack_close
In which military conflicts did Lawrence of Arabia participate?,SELECT DISTINCT var_uri WHERE brack_open  dbr_T._E._Lawrence dbo_battle var_uri  brack_close
What is the timezone in <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_timeZone var_uri  brack_close
Give me all books by <A> with more than 300 pages.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Book ; dbo_author <A> ; dbo_numberOfPages var_x FILTER ( var_x  300 )  brack_close
Does <A> Lincoln's death place have a website?,ASK WHERE brack_open  <A>>_Lincoln dbo_deathPlace var_p sep_dot var_p dbo_website var_w  brack_close
When did <A> commence?,SELECT DISTINCT var_d WHERE brack_open  <A> dbo_date var_d  brack_close
Is there a video game called Battle Chess?,"ASK WHERE brack_open  var_uri rdf_type dbo_VideoGame ; rdfs:label ""Battle Chess""@en  brack_close"
Does the Ford Motor Company have a manufacturing plant in Malaysia?,ASK WHERE brack_open  var_uri dbo_assembly dbr:Malaysia ; dbo_manufacturer dbr:Ford_Motor_Company  brack_close
Did <A> influence <A>?,ASK WHERE brack_open  <A> dbo_influencedBy <A>  brack_close
How many children did <A> have?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  <A> dbo_child var_uri  brack_close
How tall is <A>?,SELECT DISTINCT var_num WHERE brack_open  <A> dbo_height var_num  brack_close
In which <A> city are the headquarters of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_headquarter var_uri sep_dot var_uri dbo_country <A>  brack_close
Who created <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_creator var_uri  brack_close
Did <A> Presley have children?,ASK WHERE brack_open  <A> dbo_child var_uri  brack_close
How many languages are spoken in <A>?,SELECT (COUNT(DISTINCT var_x) AS var_c) WHERE brack_open  var_x dbo_spokenIn <A>  brack_close
Did Che <A> have children?,ASK WHERE brack_open  <A> dbo_child var_uri  brack_close
Did Kaurismäki ever win the Grand Prix at Cannes?,ASK WHERE brack_open  dbr_Aki_Kaurismäki dbo_award dbr_Grand_Prix_(Cannes_Film_Festival)  brack_close
To which party does the mayor of <A> belong?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_mayor var_x sep_dot var_x dbo_party var_uri  brack_close
Who is the Formula 1 race driver with the most races?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_FormulaOneRacer ; dbo_races var_x  brack_close ORDER BY DESC(var_x) OFFSET 0 LIMIT 1
What country is <A> from?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_locationCountry var_uri  brack_close
Give me the birth place of <A>.,SELECT DISTINCT var_place WHERE brack_open  <A> dbo_birthPlace var_place  brack_close
Is <A> starring in <A>?,ASK WHERE brack_open  <A> dbo_starring <A>  brack_close
Who is the son of Sonny and <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_parent <A> ; dbo_parent dbr_Sonny_Bono  brack_close
How many ethnic groups live in <A>?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  <A> dbo_ethnicGroup var_uri  brack_close
What is the capital of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_capital var_uri  brack_close
Was <A> born in the <A>?,ASK WHERE brack_open  <A> dbo_birthPlace var_city sep_dot var_city dbo_country <A>  brack_close
How many pages does War and Peace have?,SELECT DISTINCT var_n WHERE brack_open  dbr_War_and_Peace dbo_numberOfPages var_n  brack_close
Who is the oldest child of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_child var_uri sep_dot var_uri dbo_birthDate var_d  brack_close ORDER BY ASC(var_d) OFFSET 0 LIMIT 1
Which television shows were created by <A> Disney?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_TelevisionShow ; dbo_creator <A>  brack_close
What does IYCM stand for?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_abbreviation ""IYCM""  brack_close"
Which types of grapes grow in <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A>>_wine dbo_growingGrape var_uri  brack_close
Was U.S. president <A> involved in a war?,ASK WHERE brack_open  <A> dbp_battles var_battle  brack_close
When was the Titanic completed?,SELECT DISTINCT var_date WHERE brack_open  dbr_Titanic dbo_completionDate var_date  brack_close
Did <A> win a <A> in physics?,ASK WHERE brack_open  <A> dbo_award <A>>_in_Physics  brack_close
How many states are in Mexico?,SELECT (COUNT(var_uri) AS var_count) WHERE brack_open  var_uri dbp_settlementType dbr:List_of_states_of_Mexico  brack_close
Which scientist is known for the <A> and the <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_knownFor <A> ; rdf_type dbo_Scientist ; dbo_award <A>  brack_close
How much did the Lego Movie cost?,SELECT DISTINCT var_n WHERE brack_open  dbr_The_Lego_Movie dbo_budget var_n  brack_close
Who composed the music for Harold and Maude?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Harold_and_Maude dbp_music var_uri  brack_close
List all episodes of the first season of the HBO television series <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_series <A> ; dbp_season 1  brack_close
Which city has the least inhabitants?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_City ; dbo_populationTotal var_pop  brack_close ORDER BY ASC(var_pop) OFFSET 0 LIMIT 1
Where is <A> buried?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_restingPlace var_uri  brack_close
Does <A> play for Real Madrid?,ASK WHERE brack_open  <A> dbo_team dbr_Real_Madrid_C.F.  brack_close
Who wrote the book The Pillars of the Earth?,SELECT DISTINCT var_uri WHERE brack_open  dbr_The_Pillars_of_the_Earth dbo_author var_uri  brack_close
Do <A> and Prince William have the same parents?,"ASK WHERE brack_open  dbr_Prince_William,_Duke_of_Cambridge dbo_parent var_x sep_dot <A> dbo_parent var_x  brack_close"
Who was the doctoral supervisor of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_doctoralAdvisor var_uri  brack_close
Does <A> have more episodes than <A> of Thrones?,ASK WHERE brack_open  <A> dbo_numberOfEpisodes var_x sep_dot <A>>_of_Thrones dbo_numberOfEpisodes var_y FILTER ( var_x  var_y )  brack_close
Who was Vincent van Gogh inspired by?,SELECT DISTINCT var_uri WHERE brack_open  dbr:Vincent_van_Gogh dbp_training var_uri  brack_close
How much did <A> cost?,SELECT DISTINCT var_n WHERE brack_open  <A> dbo_budget var_n  brack_close
Is <A> a protein?,ASK WHERE brack_open  <A> rdf_type dbo_Protein  brack_close
Which organizations were founded in 1950?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Organisation brack_open  var_uri dbo_formationYear var_date  brack_close UNION brack_open  var_uri dbo_foundingYear var_date  brack_close UNION brack_open  var_uri dbp_foundation var_date  brack_close UNION brack_open  var_uri dbp_formation var_date  brack_close FILTER regex(var_date, ""^1950"")  brack_close"
Who created the comic <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_creator var_uri  brack_close
Give me the <A> astronauts.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_mission <A>  brack_close
Who wrote the book The pillars of the Earth?,SELECT DISTINCT var_uri WHERE brack_open  dbr_The_Pillars_of_the_Earth dbo_author var_uri  brack_close
Which spaceflights were launched from <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbp_launchPad <A>  brack_close
Give me a list of all <A> players that were <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_occupation <A> ; dbo_instrument <A>  brack_close
Which U.S. states are in the same timezone as <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_timezone var_x sep_dot var_uri rdf_type yago:WikicatStatesOfTheUnitedStates ; dbp_timezone var_x FILTER ( var_uri != <A> )  brack_close
Which U.S. states possess gold minerals?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type yago:WikicatStatesOfTheUnitedStates ; dbp_mineral var_mineral FILTER regex(var_mineral, ""gold"", ""i"")  brack_close"
Who is the current federal minister of finance in Germany?,SELECT var_leader WHERE brack_open  dbr_Federal_Ministry_of_Finance_(Germany) dbo_leader var_leader  brack_close
In which country is <A> located?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_country var_uri  brack_close
Who played <A> in Breaking Bad?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_portrayer var_uri  brack_close
In which country does the <A> start?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_mouthPlace var_uri  brack_close
In which state Penn State University is located?,SELECT var_s WHERE brack_open  dbr:Pennsylvania_State_University dbo_state var_s  brack_close
What is the biggest stadium in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Stadium ; dbo_location <A> ; dbo_seatingCapacity var_n  brack_close ORDER BY DESC(var_n) OFFSET 0 LIMIT 1
Who is the coach of <A>'s ice hockey team?,SELECT DISTINCT var_uri WHERE brack_open  var_x dbo_city <A> ; dbo_league dbr_Turkish_Ice_Hockey_First_League ; dbo_coach var_uri  brack_close
How large is the area of UK?,SELECT var_area WHERE brack_open  dbr:United_Kingdom dbo_area var_area  brack_close
Who created <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_creator var_uri  brack_close
Was Sigmund Freud married?,ASK WHERE brack_open  dbr:Sigmund_Freud dbo_spouse var_uri  brack_close
Who are the developers of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_developer var_uri  brack_close
Give me all movies directed by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film ; dbo_director <A>  brack_close
Are tree frogs a type of <A>?,ASK WHERE brack_open  dbr_Hylidae dbo_class <A>  brack_close
What is the location of the Houses of Parliament?,SELECT var_uri WHERE brack_open  dbr_Palace_of_Westminster dbo_location var_uri  brack_close
how much is the elevation of Düsseldorf Airport ?,SELECT var_ele WHERE brack_open  dbr:Düsseldorf_Airport dbo_elevation var_ele  brack_close LIMIT 1
How much is the population of mexico city ?,SELECT var_Mexico_City WHERE brack_open  dbr:Mexico_City dbo_populationTotal var_Mexico_City  brack_close
Who was the first King of England?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Royalty ; rdf_type yago:WikicatEnglishMonarchs ; dbo_activeYearsStartYear var_date  brack_close ORDER BY ASC(var_date) OFFSET 0 LIMIT 1
Who is the editor of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_editor var_uri  brack_close
Which awards did <A> win?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_award var_uri  brack_close
Who is the youngest Darts player?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_DartsPlayer ; dbo_birthDate var_date  brack_close ORDER BY DESC(var_date) OFFSET 0 LIMIT 1
Is horse racing a sport?,ASK WHERE brack_open  dbr:Horse_racing rdf_type dbo_Sport  brack_close
Which river does the <A> cross?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_crosses var_uri  brack_close
How many people live in <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_populationTotal var_uri  brack_close
When was the last episode of the TV series Friends aired?,SELECT var_date WHERE brack_open  dbr:Friends dbo_completionDate var_date  brack_close
Is the wife of <A> called Michelle?,"ASK WHERE brack_open  <A> dbo_spouse var_spouse sep_dot var_spouse rdfs:label var_name FILTER regex(var_name, ""Michelle"")  brack_close"
Who is 8th president of US?,SELECT var_name WHERE brack_open  dbr:8th_President_of_the_United_States dbo_wikiPageRedirects var_link sep_dot var_link dbp_name var_name  brack_close
how much is the total population of  european union?,SELECT var_europop WHERE brack_open  dbr:European_Union dbo_populationTotal var_europop  brack_close
Give me all launch pads operated by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_LaunchPad ; dbo_operator <A>  brack_close
Who developed the video game <A> of Warcraft?,SELECT DISTINCT var_uri WHERE brack_open  <A>>_of_Warcraft dbo_developer var_uri  brack_close
What is the birth name of Adele?,SELECT var_bn WHERE brack_open  dbr:Adele dbo_birthName var_bn  brack_close
What is the population of Cairo?,SELECT var_pop WHERE brack_open  dbr:Cairo dbo_populationTotal var_pop  brack_close
Is <A> still alive?,ASK WHERE brack_open  <A> dbo_deathDate var_date FILTER ( ! bound(var_date) )  brack_close
What is the last work of Dan Brown?,SELECT var_book WHERE brack_open  var_book dbo_author dbr:Dan_Brown sep_dot var_book dbp_releaseDate var_date  brack_close ORDER BY DESC(xsd:date(var_date)) LIMIT 1
Where is Sungkyunkwan University?,SELECT DISTINCT var_country WHERE brack_open  dbr:Sungkyunkwan_University dbo_city var_city ; dbo_country var_country  brack_close
Who is the author of the interpretation of dreams?,SELECT var_Author WHERE brack_open  dbr:The_Interpretation_of_Dreams dbo_author var_Author  brack_close
When was the death  of  Shakespeare?,SELECT var_x WHERE brack_open  dbr:William_Shakespeare dbo_deathDate var_x  brack_close LIMIT 1
Who developed Slack?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_product dbr_Slack_(software)  brack_close
Where is the origin of Carolina reaper?,SELECT var_uri WHERE brack_open  dbr:Carolina_Reaper dbo_origin var_uri  brack_close
In which year was <A> born?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_birthYear var_uri  brack_close
How often did <A> marry?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  <A> dbo_spouse var_uri  brack_close
Was the wife of president <A> called Mary?,"ASK WHERE brack_open  <A> dbo_spouse var_spouse sep_dot var_spouse rdfs:label var_name FILTER regex(var_name, ""Mary"")  brack_close"
Which cities does the <A> flow through?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_subdivisionName var_uri  brack_close
In which programming language is <A> written?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_programmingLanguage var_uri  brack_close
Which university did <A> attend?,SELECT DISTINCT var_university WHERE brack_open  <A> dbo_almaMater var_university  brack_close
List all the musicals with music by <A>.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Musical ; dbo_musicBy <A>  brack_close
How many <A> stores are there?,SELECT DISTINCT var_number WHERE brack_open  <A> dbo_numberOfLocations var_number  brack_close
When was <A> born?,SELECT DISTINCT var_date WHERE brack_open  <A> dbo_birthDate var_date  brack_close
Which companies produce hovercrafts?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Company ; dbo_product dbr_Hovercraft  brack_close
Who was the wife of U.S. president <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_spouse var_uri  brack_close
How many people live in the capital of <A>?,SELECT DISTINCT var_num WHERE brack_open  <A> dbo_capital var_x sep_dot var_x dbo_populationTotal var_num  brack_close
In which ancient empire could you pay with <A> beans?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_currency <A>  brack_close
How many theories did Albert Einstein come up with?,SELECT (COUNT(var_uri) AS var_count) WHERE brack_open  dbr:Albert_Einstein dbo_knownFor var_uri  brack_close
Who composed the soundtrack for Cameron's Titanic?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Titanic_(1997_film) dbo_musicComposer var_uri  brack_close
Give me the runtime of <A> Story.,SELECT DISTINCT var_runtime WHERE brack_open  <A>>_Story dbo_runtime var_runtime  brack_close
With how many countries Iran has borders?,SELECT var_border WHERE brack_open  dbr:Geography_of_Iran dbp_borders var_border  brack_close LIMIT 8
Which <A> companies were founded in <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Company ; dbo_industry <A>>; dbo_location <A>  brack_close
Who was the successor of John F. <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_successor var_uri  brack_close
Who is the mayor of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_mayor var_uri  brack_close
Did <A> attend a university?,ASK WHERE brack_open  <A> dbo_almaMater var_x sep_dot var_x rdf_type dbo_University  brack_close
Is <A> married?,ASK WHERE brack_open  <A> dbo_spouse var_uri  brack_close
Who was John F. <A>'s vice president?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_vicePresident var_uri  brack_close
Which country does the creator of <A> come from?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_creator var_x sep_dot var_x dbp_nationality var_uri  brack_close
In what city is the Heineken brewery?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Heineken dbo_manufacturer var_x sep_dot var_x dbp_locationCity var_uri  brack_close
Is <A> a democrat?,ASK WHERE brack_open  <A> dbo_party dbr_Democratic_Party_(United_States)  brack_close
List the children of <A>.,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_child var_uri  brack_close
From which region is the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_wineRegion var_uri  brack_close
how big is the total area of North Rhine- Westphalia?,SELECT var_tarea WHERE brack_open  dbr:North_Rhine-Westphalia dbo_areaTotal var_tarea  brack_close
Which city has the most inhabitants?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_City ; dbo_populationTotal var_pop  brack_close ORDER BY DESC(var_pop) OFFSET 0 LIMIT 1
What is Donald Trump's main business?,SELECT var_owner WHERE brack_open  var_owner dbo_owner dbr:Donald_Trump  brack_close
When will start the final match of the football world cup 2018?,SELECT var_Date WHERE brack_open  dbr:2018_FIFA_World_Cup_Final dbo_date var_Date  brack_close
Which films did <A> direct?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_director <A>  brack_close
