"Text", "Query"
"Is the song Killing is Out, School is in belong in the <A>?","ASK WHERE brack_open dbr_Killing_Is_Out,_School_Is_In dbp_album <A> brack_close"
Which band's  former member are <A> and <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_formerBandMember <A> sep_dot var_uri dbp_pastMembers <A>  sep_dot var_uri rdf_type dbo_Band brack_close
Count all those whose youth club was managed by Luis Enrique.,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_manager dbr_Luis_Enrique_(footballer) sep_dot var_uri dbp_youthclubs var_x  sep_dot brack_close
Is <A>  of the <A> phylum?,ASK WHERE brack_open <A> dbp_phylum <A> brack_close
What is the purpose of the <A> which is genere of <A>?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_purpose var_uri sep_dot <A> dbo_genre var_uri brack_close 
Whose former teams are <A> and <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_formerTeam <A> sep_dot var_uri dbo_formerTeam <A> sep_dot brack_close
In which language is All I need is Your Sweet lovin written ?, SELECT DISTINCT var_uri WHERE brack_open dbr_All_I_Need_Is_Your_Sweet_Lovin' dbp_language var_uri brack_close 
Which <A> consort is <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_rank <A>_(United_States) sep_dot var_uri dbp_spouse <A>  sep_dot brack_close
Which title of <A> is also the nationality of Salahuddin ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_title var_uri sep_dot dbr_Salahuddin_Rabbani dbo_nationality var_uri brack_close
Does the <A> have a hub at the cibano international airport?,ASK WHERE brack_open <A> dbo_hubAirport dbr_Cibao_International_Airport brack_close
Was <A> known to play the <B>?,ASK WHERE brack_open <A> dbp_notableInstruments <B> brack_close
List the judges of Rising Star which is also the artist of <A> discography ?, SELECT DISTINCT var_uri WHERE brack_open dbr_Rising_Star_(U.S._TV_series) dbp_judges var_uri sep_dot <A>_discography dbp_artist var_uri brack_close
Who are some people whose relation is hqed in <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_headquarters <A> sep_dot var_uri dbo_religion var_x  sep_dot brack_close
Which party does <A> and <B> currently belong to?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_party var_uri sep_dot <B> dbp_party var_uri sep_dot brack_close
In which state is the alma mater of <A> located ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_almaMater var_x sep_dot var_x dbo_state var_uri  sep_dot brack_close
"What sport amongst the one <A> practices, did Willian Garne play for?", SELECT DISTINCT var_uri WHERE brack_open <A> dbo_sport var_uri sep_dot dbr_William_Garne dbo_occupation var_uri brack_close
What are the beverages whose origin is <A>?, SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_origin <A> brack_close 
Which current member of <A> vs Robots is also the music composer of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A>s_vs_Robots dbp_currentMembers var_uri sep_dot <A> dbo_musicComposer var_uri brack_close
What are the television shows whose distributer is <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_distributor <A>  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
What is the distributing label of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_distributingLabel var_uri brack_close 
Who is the film star of <A> with Ryan Seacrest ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_starring var_uri brack_close 
"Who have children named <A> and <B>?","SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_children <A> sep_dot var_uri dbp_children <B> sep_dot brack_close"
In how many different places does <A> and River Trust own its assets?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_owner <A>_&_River_Trust sep_dot var_x dbo_location var_uri  sep_dot brack_close
Count the total number of launch site of the rockets which have been launched form <A> ?, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_launchSite <A> sep_dot var_x dbo_launchSite var_uri brack_close
List some leaders of regions in the <A> Zone?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_timeZone <A> sep_dot var_x dbo_leaderName var_uri  sep_dot var_x rdf_type dbo_Place brack_close
Name some comic characters created by <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_creator <A>  sep_dot brack_close
Which university attended by Franklin W sep_dot Olin was also the alma mater of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_almaMater var_uri sep_dot dbr_Franklin_W._Olin dbp_education var_uri brack_close
Whihc associate of THomas Bryan Martin is also the founder of <A> ?, SELECT DISTINCT var_uri WHERE brack_open dbr_Thomas_Bryan_Martin dbo_associate var_uri sep_dot <A> dbo_founder var_uri brack_close
Who gives the license of WXXV-DT2 ?, SELECT DISTINCT var_uri WHERE brack_open dbr_WXXV-DT2 dbp_licensee var_uri brack_close 
Count the number of sports played by schools which play hockey ?, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_sport dbr_Hockey sep_dot var_x dbo_sport var_uri brack_close
List the tomb of the royalties whose burial place is <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_placeOfBurial <A> sep_dot var_x dbp_placeOfBurial var_uri  sep_dot var_x rdf_type dbo_Royalty brack_close
What are some relatives of the people who fought in <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_battle <A> sep_dot var_x dbo_relation var_uri  sep_dot var_x rdf_type dbo_Person brack_close
How many awards have been given to <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_occupation <A> sep_dot var_x dbp_awards var_uri  sep_dot brack_close
Who is the builder of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_builder var_uri brack_close 
How many software run on operating system is Microsoft <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbo_operatingSystem <A>  sep_dot var_uri rdf_type dbo_Software brack_close
What is the awards given to the horse whose grandson is the famous <A>?,SELECT DISTINCT var_uri WHERE brack_open <A>_(horse) dbp_grandsire var_x sep_dot var_x dbo_honours var_uri  sep_dot var_x rdf_type dbo_Horse brack_close
Where is the <A>?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_location var_uri brack_close 
Who won a <A> Award for Social and Professional Responsibility?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_prizes <A>_Award_for_Social_and_Professional_Responsibility  sep_dot brack_close
What awards have been given to <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_occupation <A> sep_dot var_x dbp_awards var_uri  sep_dot brack_close
Which office's people have died on the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_deathPlace <A> sep_dot var_x dbp_office var_uri  sep_dot var_x rdf_type dbo_Person brack_close
In which races have <A>'s horses participated?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_owner <A> sep_dot var_x dbp_race var_uri  sep_dot var_x rdf_type dbo_Horse brack_close
List the show related to the which was followed by <A> Extra?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_subsequentWork <A>_Extra sep_dot var_uri dbo_related var_x  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
What is the predecessor of the automobile which is the related of <A>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_related var_x sep_dot var_x dbo_predecessor var_uri  sep_dot var_x rdf_type dbo_Automobile brack_close
Which country's largest city is Lima?, SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_largestCity dbr_Lima brack_close 
Whose opponents are <A> and <B>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_opponent <A> sep_dot var_uri dbo_opponent <B> sep_dot brack_close
List the institute of Robert hall ?, SELECT DISTINCT var_uri WHERE brack_open dbr_Robert_Hall_(economist) dbo_institution var_uri brack_close 
To which religion does the commander of <A> belong?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_commander var_x sep_dot var_x dbo_religion var_uri  sep_dot brack_close
Who was the writer of the novel <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_notableworks <A>  sep_dot var_uri rdf_type dbo_Writer brack_close
Where is <A> from?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_nationality var_uri  sep_dot brack_close
What are the movies whose music is given by <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_music <A>  sep_dot var_uri rdf_type dbo_Film brack_close
What appliance <A> made after the success of <A>?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_manufacturer <A> sep_dot var_uri dbo_predecessor <A>  sep_dot brack_close
What are some cars similar to <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_class <A> sep_dot var_x dbp_related var_uri  sep_dot var_x rdf_type dbo_Automobile brack_close
"What television show is magistrated by <A>?","SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_judges <A>  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close"
Did <A> an editor of <A>?,ASK WHERE brack_open <A> dbp_editing <A> brack_close
does the journal of cancer have the <A>?,ASK WHERE brack_open dbr_Journal_of_Cancer dbp_license <A> brack_close
What genre of games are made by <A> studios?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_developer <A> sep_dot var_x dbp_genre var_uri  sep_dot var_x rdf_type dbo_VideoGame brack_close
Name the series of <A>: Evacuation Earth ?, SELECT DISTINCT var_uri WHERE brack_open <A>:_Evacuation_Earth dbo_series var_uri brack_close 
List the awards won by the writer of <A> to <A> ?,SELECT DISTINCT var_uri WHERE brack_open <A>_to_Face_(1976_film) dbp_writer var_x sep_dot var_x dbp_awards var_uri  sep_dot brack_close
What is the common party of <A> and <A>  ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_otherParty var_uri sep_dot <A>_(actor) dbo_party var_uri brack_close
What awards were given to the screenplayer of <A>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_screenplay var_x sep_dot var_x dbp_awards var_uri  sep_dot brack_close
Was <A> a nominee of <A>?,ASK WHERE brack_open <A>_(politician) dbo_nominee <A> brack_close
What are some music artists whose bands have signed up with <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_label <A> sep_dot var_x dbo_bandMember var_uri  sep_dot var_x rdf_type dbo_Band brack_close
What team did <A> and <A> play for?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_formerTeam var_uri sep_dot <A> dbp_playedFor var_uri sep_dot brack_close
Name the broadcast area of  <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_area var_uri brack_close 
Which district of <A> is also the state of Joesph Story ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_district var_uri sep_dot dbr_Joseph_Story dbp_state var_uri brack_close
Which river's mouth is located in Gulf of Mexico and has source location as <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_riverMouth dbr_Gulf_of_Mexico sep_dot var_uri dbp_sourceLocation <A>  sep_dot var_uri rdf_type dbo_River brack_close
Is my truly truly fair the band of <A>?,"ASK WHERE brack_open dbr_My_Truly,_Truly_Fair dbo_musicalBand <A> brack_close"
Which religion is prevalent in the schools of the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_region <A> sep_dot var_x dbp_denomination var_uri  sep_dot var_x rdf_type dbo_School brack_close
Which politician was succeeded by someone who graduated from the Instituts d'tudes politiques?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_almaMater dbr_Instituts_d'études_politiques sep_dot var_uri dbp_successor var_x  sep_dot var_uri rdf_type dbo_OfficeHolder brack_close
How many different mascots are there of the <A> teams?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbp_athletics <A> sep_dot var_x dbp_mascot var_uri  sep_dot brack_close
"Which of the continents that Digitalb worked in, was <A> born in?", SELECT DISTINCT var_uri WHERE brack_open dbr_Digit-Alb dbo_regionServed var_uri sep_dot <A> dbo_birthPlace var_uri brack_close
Which nation hosts the WTA Tour Championships?, SELECT DISTINCT var_uri WHERE brack_open dbr_WTA_Tour_Championships dbp_country var_uri brack_close 
Name the television show whose theme music is composed by Julian Gingell and broadcasted on <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_themeMusicComposer dbr_Julian_Gingell sep_dot var_uri dbp_channel <A>  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
What is the prize received by the one who wrote the screen play of <A>  ?,SELECT DISTINCT var_uri WHERE brack_open <A> dbp_screenplay var_x sep_dot var_x dbo_award var_uri  sep_dot brack_close
What are the awrds won by <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_service var_uri brack_close 
Is <A> in the <A> industry?,ASK WHERE brack_open <A> dbp_industry <A> brack_close
"Name the office holder whose predecessor is  Henry E sep_dot Catto, Jr sep_dot and won <A>?","SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_predecessor dbr_Henry_E._Catto,_Jr sep_dot sep_dot var_uri dbo_award <A>  sep_dot var_uri rdf_type dbo_OfficeHolder brack_close"
Which notable commanders of the <A> (Germany) is the  leader of the <A>?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_notableCommanders var_uri sep_dot <A> dbo_leader var_uri brack_close
Which maintainer of <A> is also the city of <A>' 76 ?, SELECT DISTINCT var_uri WHERE brack_open <A>_'76 dbo_city var_uri sep_dot <A> dbo_maintainedBy var_uri brack_close
Which <A> has allegiance to <A> of Virginia ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbp_allegiance <A>_of_Virginia sep_dot var_uri dbp_rank <A>_(United_States)  sep_dot var_uri rdf_type dbo_OfficeHolder brack_close
What is the layout of the cars similar to that of the <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbo_relatedMeanOfTransportation <A> sep_dot var_x dbo_layout var_uri  sep_dot var_x rdf_type dbo_Automobile brack_close
Name the university which has Lieutenaunt general as superintendent and mascot as <A> ?,SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_superintendent dbr_Lieutenant_general_(United_States) sep_dot var_uri dbp_mascot <A>  sep_dot var_uri rdf_type dbo_University brack_close
How many other ingredient are there in the foods whihh have one of the ingredient as <A> ?, SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_ingredient <A> sep_dot var_x dbo_ingredient var_uri brack_close
In which country is the <A>?,SELECT DISTINCT var_uri WHERE brack_open <A> dbo_sourceCountry var_uri  sep_dot brack_close
How many companies have launched their rockets from the Vandenerg Air base?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_launchSite dbr_Vandenberg_Air_Force_Base sep_dot var_x dbo_manufacturer var_uri  sep_dot var_uri rdf_type dbo_Company brack_close
List the destinations to which the airlines headquartered at the <A> fly to?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_headquarters <A> sep_dot var_x dbo_destination var_uri  sep_dot var_x rdf_type dbo_Airline brack_close
What are some given names for <A>?, SELECT DISTINCT var_uri WHERE brack_open var_uri dbo_gender <A> brack_close 
The official residence of <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbp_residence var_uri brack_close 
What are the television shows whose company's predecessor is <A>?,SELECT DISTINCT var_uri WHERE brack_open var_x dbp_predecessor <A> sep_dot var_uri dbp_company var_x  sep_dot var_uri rdf_type dbo_TelevisionShow brack_close
What is operated by <A> ?, SELECT DISTINCT var_uri WHERE brack_open <A> dbo_operator var_uri brack_close 
Which battle did both Steven Palazao and <A> fight in?,SELECT DISTINCT var_uri WHERE brack_open dbr_Steven_Palazzo dbp_battles var_uri sep_dot <A> dbp_battles var_uri sep_dot brack_close
"Which company which assembles its cars in Broadmeadows, Victoria?","SELECT DISTINCT var_uri WHERE brack_open var_x dbp_assembly dbr_Broadmeadows,_Victoria sep_dot var_x dbo_parentCompany var_uri  sep_dot var_x rdf_type dbo_Automobile brack_close"
List the people casted in Betsy's Wedding and <A>?,SELECT DISTINCT var_uri WHERE brack_open dbr_Betsy's_Wedding dbo_starring var_uri sep_dot <A> dbp_starring var_uri sep_dot var_uri rdf_type dbo_Person brack_close
<A> makes how many things?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_uri dbo_manufacturer <A>  sep_dot brack_close
Do the <A> fly to <A>?,ASK WHERE brack_open <A> dbo_targetAirport <A> brack_close
In how many nations can I find dishes made of <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open var_x dbo_ingredient <A> sep_dot var_x dbo_country var_uri  sep_dot var_uri rdf_type dbo_Country brack_close
What is the mascot of the military unit of <A>?,SELECT DISTINCT var_uri WHERE brack_open <A>_(politician) dbp_branch var_x sep_dot var_x dbp_mascot var_uri  sep_dot brack_close
Does <A> a junction on the NY State Route 470?,"ASK WHERE brack_open dbr_New_York_State_Route_470 dbo_routeJunction <A> brack_close"
How many other important things have been written by the creator of <A>?,SELECT DISTINCT COUNT(var_uri) WHERE brack_open <A> dbo_creator var_x sep_dot var_x dbo_notableWork var_uri  sep_dot brack_close
